year,title,doi,is_oa,oa_status,cited_by,landing_page,doi_link,pdf_url,downloaded,local_file
2023,Optimisation and prediction of compressive properties for concrete containing recycled aggregates and rice husk ash using response surface methodology (RSM),10.1002/cepa.2872,True,hybrid,6,https://doi.org/10.1002/cepa.2872,https://doi.org/10.1002/cepa.2872,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cepa.2872,no,
2023,"A Study on Characteristics of Brake Pad Composite Materials by Varying the Composition of Epoxy, Rice Husk, Al2O3, and Fe2O3",10.31603/ae.9121,True,gold,16,https://doi.org/10.31603/ae.9121,https://doi.org/10.31603/ae.9121,https://journal.unimma.ac.id/index.php/AutomotiveExperiences/article/download/9121/4495,yes,2023/09_A_Study_on_Characteristics_of_Brake_Pad_Composite_Materials_by_Varying_the_Composition_of_Epoxy_Rice_Husk_Al2O3_and_Fe2O.pdf
2023,Experimental investigation on properties of concrete with rice husk ash and water hyacinth ash,10.7770/safer-v12n-art793,True,diamond,2,http://dx.doi.org/10.7770/safer-v12n-art793,https://doi.org/10.7770/safer-v12n-art793,https://safer.uct.cl/index.php/SAFER/article/download/793/722,yes,2023/10_Experimental_investigation_on_properties_of_concrete_with_rice_husk_ash_and_water_hyacinth_ash.pdf
2023,Performance studies on quaternary blended Geopolymer concrete,10.1016/j.hybadv.2023.100019,True,diamond,31,https://doi.org/10.1016/j.hybadv.2023.100019,https://doi.org/10.1016/j.hybadv.2023.100019,,no,
2023,Development of sustainable concrete using rice husk ash and refractory brick waste,10.1680/jensu.22.00003,False,closed,3,https://doi.org/10.1680/jensu.22.00003,https://doi.org/10.1680/jensu.22.00003,,no,
2023,Concrete Composites Based on Quaternary Blended Cements with a Reduced Width of Initial Microcracks,10.3390/app13127338,True,gold,80,https://doi.org/10.3390/app13127338,https://doi.org/10.3390/app13127338,https://www.mdpi.com/2076-3417/13/12/7338/pdf?version=1687270518,no,
2023,EFFECT OF RICE HUSK ASH AND STEEL FIBERS ON SELF-COMPACTING CONCRETE PROPERTIES,10.21660/2023.108.3677,True,diamond,6,https://doi.org/10.21660/2023.108.3677,https://doi.org/10.21660/2023.108.3677,https://geomatejournal.com/geomate/article/download/3677/3200/7160,no,
2023,"EXPERIMENTAL INVESTIGATION ON MARBLE DUST, RICE HUSK ASH, AND FLY ASH BASED GEOPOLYMER BRICK",10.53555/ecb.v10i5s.5930,True,gold,11,http://dx.doi.org/10.53555/ecb.v10i5s.5930,https://doi.org/10.53555/ecb.v10i5s.5930,https://lwqh0y3rla.execute-api.ap-south-1.amazonaws.com/dev/download?articleId=5930,yes,2023/11_EXPERIMENTAL_INVESTIGATION_ON_MARBLE_DUST_RICE_HUSK_ASH_AND_FLY_ASH_BASED_GEOPOLYMER_BRICK.pdf
2023,Compressive strength of concrete containing furnace blast slag; optimized machine learning-based models,10.1016/j.clet.2023.100604,True,gold,78,https://doi.org/10.1016/j.clet.2023.100604,https://doi.org/10.1016/j.clet.2023.100604,https://oda.oslomet.no/oda-xmlui/bitstream/11250/3097408/1/1-s2.0-S2666790823000095-main.pdf,no,
2023,Experimental study on pore structure characteristics and thermal conductivity of fibers reinforced foamed concrete,10.1371/journal.pone.0287690,True,gold,24,https://doi.org/10.1371/journal.pone.0287690,https://doi.org/10.1371/journal.pone.0287690,https://pmc.ncbi.nlm.nih.gov/articles/PMC10328354/pdf/pone.0287690.pdf,no,
2023,Application of Artificial Intelligence Methods for Predicting the Compressive Strength of Green Concretes with Rice Husk Ash,10.3390/math12010066,True,gold,7,https://doi.org/10.3390/math12010066,https://doi.org/10.3390/math12010066,https://www.mdpi.com/2227-7390/12/1/66/pdf?version=1703410279,no,
2023,Mechanical Properties and Microstructure of Rice Husk Ash–Rubber–Fiber Concrete under Hygrothermal Environment,10.3390/polym15112415,True,gold,7,https://doi.org/10.3390/polym15112415,https://doi.org/10.3390/polym15112415,https://www.mdpi.com/2073-4360/15/11/2415/pdf?version=1684815270,no,
2023,Performance of Rice Straw Fibers on Hardened Concrete Properties under Effect of Impact Load and Gamma Radiation,10.3390/fib11050042,True,gold,24,https://doi.org/10.3390/fib11050042,https://doi.org/10.3390/fib11050042,https://www.mdpi.com/2079-6439/11/5/42/pdf?version=1683517085,no,
2023,A study of durable and reliable reactive powder concrete containing rice husk fibers,10.21533/pen.v11i3.3718,True,diamond,2,http://doi.org/10.21533/pen.v11i3.3718,https://doi.org/10.21533/pen.v11i3.3718,,no,
2023,"Performance of bituminous paving mixtures containing recycled concrete aggregate, fly ash and rice husk ash: A probabilistic approach",10.19040/ecocycles.v9i3.335,True,diamond,4,https://doi.org/10.19040/ecocycles.v9i3.335,https://doi.org/10.19040/ecocycles.v9i3.335,https://www.ecocycles.net/ojs/index.php/ecocycles/article/download/335/253,yes,2023/12_Performance_of_bituminous_paving_mixtures_containing_recycled_concrete_aggregate_fly_ash_and_rice_husk_ash_A_probabilist.pdf
2023,Review of Recent Developments Regarding the Durability Performance of Eco-Friendly Geopolymer Concrete,10.3390/buildings13123033,True,gold,76,https://doi.org/10.3390/buildings13123033,https://doi.org/10.3390/buildings13123033,https://www.mdpi.com/2075-5309/13/12/3033/pdf?version=1701829647,no,
2023,Influence of freeze–thaw cycles on mechanical properties of pervious concrete: From experimental studies to discrete element simulations,10.1016/j.conbuildmat.2023.133988,False,closed,25,https://doi.org/10.1016/j.conbuildmat.2023.133988,https://doi.org/10.1016/j.conbuildmat.2023.133988,,no,
2023,Biomineralization To Prevent Microbially Induced Corrosion on Concrete for Sustainable Marine Infrastructure,10.1021/acs.est.3c04680,True,hybrid,72,https://doi.org/10.1021/acs.est.3c04680,https://doi.org/10.1021/acs.est.3c04680,http://ira.lib.polyu.edu.hk/bitstream/10397/107460/1/Sun_Biomineralization_Prevent_Microbially.pdf,no,
2023,Experimental investigation and modelling of the mechanical properties of palm oil fuel ash concrete using Scheffe’s method,10.1038/s41598-023-45987-3,True,gold,33,https://doi.org/10.1038/s41598-023-45987-3,https://doi.org/10.1038/s41598-023-45987-3,https://www.nature.com/articles/s41598-023-45987-3.pdf,no,
2023,Effect of the addition of silica obtained from rice husk on physicochemical and mechanical properties of fibercement,10.1016/j.heliyon.2023.e13567,True,gold,13,https://doi.org/10.1016/j.heliyon.2023.e13567,https://doi.org/10.1016/j.heliyon.2023.e13567,http://www.cell.com/article/S2405844023007740/pdf,no,
2023,Evaluation of Composites Reinforced by Processed and Unprocessed Coconut Husk Powder,10.3390/polym15051195,True,gold,33,https://doi.org/10.3390/polym15051195,https://doi.org/10.3390/polym15051195,https://www.mdpi.com/2073-4360/15/5/1195/pdf?version=1677490340,no,
2023,Effect of Rice-Husk as Replacement Cement on Mechanical Properties Concrete,10.24191/jmeche.v20i2.22056,True,bronze,4,https://doi.org/10.24191/jmeche.v20i2.22056,https://doi.org/10.24191/jmeche.v20i2.22056,https://doi.org/10.24191/jmeche.v20i2.22056,yes,2023/13_Effect_of_Rice-Husk_as_Replacement_Cement_on_Mechanical_Properties_Concrete.pdf
2023,The Effect of the Addition of Coal Fly Ash (CFA) on the Control of Water Movement within the Structure of the Concrete,10.3390/ma16155218,True,gold,78,https://doi.org/10.3390/ma16155218,https://doi.org/10.3390/ma16155218,https://www.mdpi.com/1996-1944/16/15/5218/pdf?version=1690276470,no,
2023,One/Two-Step Contribution to Prepare Hierarchical Porous Carbon Derived from Rice Husk for Supercapacitor Electrode Materials,10.1021/acsomega.2c07932,True,gold,17,https://doi.org/10.1021/acsomega.2c07932,https://doi.org/10.1021/acsomega.2c07932,https://pmc.ncbi.nlm.nih.gov/articles/PMC9909822/pdf/ao2c07932.pdf,no,
2023,Raw-crushed wind-turbine blade: Waste characterization and suitability for use in concrete production,10.1016/j.resconrec.2023.107160,True,hybrid,81,https://doi.org/10.1016/j.resconrec.2023.107160,https://doi.org/10.1016/j.resconrec.2023.107160,https://ars.els-cdn.com/content/image/1-s2.0-S0921344923002951-ga1_lrg.jpg,no,
2023,Thermal performance characterization of cement-based masonry blocks incorporating rice husk ash,10.1016/j.conbuildmat.2023.132481,True,hybrid,10,https://doi.org/10.1016/j.conbuildmat.2023.132481,https://doi.org/10.1016/j.conbuildmat.2023.132481,https://ars.els-cdn.com/content/image/1-s2.0-S0950061823021979-ga1_lrg.jpg,no,
2023,Investigating the Viability of Recycling Rice Husk Ash and Plastic Bag Waste to Enhance Durability of Lightweight Concrete,10.3390/buildings13051350,True,gold,6,https://doi.org/10.3390/buildings13051350,https://doi.org/10.3390/buildings13051350,https://www.mdpi.com/2075-5309/13/5/1350/pdf?version=1684735262,no,
2023,Effect of RHA on Mechanical Properties of GGBS Based Alkali Activated Concrete: An Experimental and Statistical Modelling,10.1134/s1061830923600375,False,closed,22,https://doi.org/10.1134/s1061830923600375,https://doi.org/10.1134/s1061830923600375,,no,
2023,Utilization of Fly Ash and Rice Husk Ash in Cold Mix Asphalt as Filler,10.1051/e3sconf/202345503009,True,diamond,10,https://doi.org/10.1051/e3sconf/202345503009,https://doi.org/10.1051/e3sconf/202345503009,https://www.e3s-conferences.org/articles/e3sconf/pdf/2023/92/e3sconf_icgest2023_03009.pdf,yes,2023/14_Utilization_of_Fly_Ash_and_Rice_Husk_Ash_in_Cold_Mix_Asphalt_as_Filler.pdf
2023,"Effect of Rice Husk Ash on the Properties of Alkali-Activated Slag Pastes: Shrinkage, Hydration and Mechanical Property",10.3390/ma16083148,True,gold,14,https://doi.org/10.3390/ma16083148,https://doi.org/10.3390/ma16083148,https://www.mdpi.com/1996-1944/16/8/3148/pdf?version=1681698613,no,
2023,"Geopolymers Based on a Mixture of Steel Slag and Fly Ash, Activated with Rice Husks and Reinforced with Guadua angustifolia Fibers",10.3390/su151612404,True,gold,11,https://doi.org/10.3390/su151612404,https://doi.org/10.3390/su151612404,https://www.mdpi.com/2071-1050/15/16/12404/pdf?version=1692098248,no,
2023,Optimization of Fresh and Mechanical Characteristics of Carbon Fiber-Reinforced Concrete Composites Using Response Surface Technique,10.3390/buildings13040852,True,gold,74,https://doi.org/10.3390/buildings13040852,https://doi.org/10.3390/buildings13040852,https://www.mdpi.com/2075-5309/13/4/852/pdf?version=1679650582,no,
2023,Sustainable Green Approach of Silica Nanoparticle Synthesis Using an Agro-waste Rice Husk,10.46488/nept.2023.v22i01.046,True,gold,11,https://doi.org/10.46488/nept.2023.v22i01.046,https://doi.org/10.46488/nept.2023.v22i01.046,,no,
2023,Central composite design application in the optimization of the effect of pumice stone on lightweight concrete properties using RSM,10.1016/j.cscm.2023.e01958,True,gold,63,https://doi.org/10.1016/j.cscm.2023.e01958,https://doi.org/10.1016/j.cscm.2023.e01958,https://elar.urfu.ru/bitstream/10995/130262/1/2-s2.0-85149622401.pdf,yes,2023/15_Central_composite_design_application_in_the_optimization_of_the_effect_of_pumice_stone_on_lightweight_concrete_propertie.pdf
2022,The impact of using rice husk ash as a replacement material in concrete: An experimental study,10.1016/j.jksues.2022.03.002,True,hybrid,74,https://doi.org/10.1016/j.jksues.2022.03.002,https://doi.org/10.1016/j.jksues.2022.03.002,,no,
2022,An experimental study on rice husk ash concrete,10.1016/j.matpr.2022.11.366,False,closed,30,https://doi.org/10.1016/j.matpr.2022.11.366,https://doi.org/10.1016/j.matpr.2022.11.366,,no,
2022,Rice Husk Ash in Concrete,10.3390/su15010137,True,gold,138,https://doi.org/10.3390/su15010137,https://doi.org/10.3390/su15010137,https://www.mdpi.com/2071-1050/15/1/137/pdf?version=1672133876,no,
2022,Prediction of compressive strength of rice husk ash concrete based on stacking ensemble learning model,10.1016/j.jclepro.2022.135279,False,closed,141,https://doi.org/10.1016/j.jclepro.2022.135279,https://doi.org/10.1016/j.jclepro.2022.135279,,no,
2022,Comparative Experimental Study of Sustainable Reinforced Portland Cement Concrete and Geopolymer Concrete Beams Using Rice Husk Ash,10.3390/su14169856,True,gold,24,https://doi.org/10.3390/su14169856,https://doi.org/10.3390/su14169856,https://www.mdpi.com/2071-1050/14/16/9856/pdf?version=1660119084,no,
2022,Comparative study of fly ash and rice husk ash as cement replacement in pervious concrete: mechanical characteristics and sustainability analysis,10.1080/10298436.2022.2075867,False,closed,74,https://doi.org/10.1080/10298436.2022.2075867,https://doi.org/10.1080/10298436.2022.2075867,,no,
2022,Integration of Rice Husk Ash as Supplementary Cementitious Material in the Production of Sustainable High-Strength Concrete,10.3390/ma15228171,True,gold,90,https://doi.org/10.3390/ma15228171,https://doi.org/10.3390/ma15228171,https://www.mdpi.com/1996-1944/15/22/8171/pdf?version=1668690871,no,
2022,"Factors affecting the CO2 emissions, cost efficiency and eco-strength efficiency of concrete containing rice husk ash: A database study",10.1016/j.conbuildmat.2022.126905,True,green,75,https://doi.org/10.1016/j.conbuildmat.2022.126905,https://doi.org/10.1016/j.conbuildmat.2022.126905,https://purehost.bath.ac.uk/ws/files/228947637/Authors_submitted_v1.pdf,yes,2022/01_Factors_affecting_the_CO2_emissions_cost_efficiency_and_eco-strength_efficiency_of_concrete_containing_rice_husk_ash_A_d.pdf
2022,Development of Self-Compacting Concrete Incorporating Rice Husk Ash with Waste Galvanized Copper Wire Fiber,10.3390/buildings12071024,True,gold,35,https://doi.org/10.3390/buildings12071024,https://doi.org/10.3390/buildings12071024,https://www.mdpi.com/2075-5309/12/7/1024/pdf?version=1658133857,no,
2022,Suitability of Rice Husk Ash (RHA) with lime as a soil stabilizer in geotechnical applications,10.1186/s40703-021-00169-w,True,diamond,71,https://doi.org/10.1186/s40703-021-00169-w,https://doi.org/10.1186/s40703-021-00169-w,https://link.springer.com/content/pdf/10.1186/s40703-021-00169-w.pdf,no,
2022,The use of rice husk particles to adjust the rheological properties of 3D printable cementitious composites through water sorption,10.1016/j.conbuildmat.2022.130046,False,closed,41,https://doi.org/10.1016/j.conbuildmat.2022.130046,https://doi.org/10.1016/j.conbuildmat.2022.130046,,no,
2022,Impact of Rice Husk Ash on the Mechanical Characteristics and Freeze–Thaw Resistance of Recycled Aggregate Concrete,10.3390/app122312238,True,gold,43,https://doi.org/10.3390/app122312238,https://doi.org/10.3390/app122312238,https://www.mdpi.com/2076-3417/12/23/12238/pdf?version=1669966075,no,
